[2023-01-21 11:14:42.353] [pxr_streamer] [info] ***********  Log Begin **********
[2023-01-21 11:14:42.353] [pxr_streamer] [info] process id= 17172
[2023-01-21 11:14:42.353] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:14:42.356] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xe2dafbd0
[2023-01-21 11:14:42.356] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xe2dafbd0
[2023-01-21 11:14:45.384] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:14:48.427] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:14:51.456] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:14:54.484] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:14:57.522] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:15:00.562] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:15:01.337] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0588850
[2023-01-21 11:15:01.337] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xc0588850
[2023-01-21 11:15:01.337] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xc0588850
[2023-01-21 11:15:03.589] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:15:04.343] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0588850
[2023-01-21 11:15:06.616] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:15:07.368] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0588850
[2023-01-21 11:15:09.643] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xe2dafbd0
[2023-01-21 11:15:10.398] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0588850
