[2023-01-24 14:19:47.982] [pxr_streamer] [info] ***********  Log Begin **********
[2023-01-24 14:19:47.982] [pxr_streamer] [info] process id= 18204
[2023-01-24 14:19:47.982] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:19:47.984] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xc0aef0a0
[2023-01-24 14:19:47.984] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xc0aef0a0
[2023-01-24 14:19:50.997] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:19:54.039] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:19:57.079] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:20:00.128] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:20:03.171] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:20:06.212] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:20:09.247] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
[2023-01-24 14:20:12.283] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xc0aef0a0
