[2023-01-24 17:37:55.923] [pxr_streamer] [info] ***********  Log Begin **********
[2023-01-24 17:37:55.923] [pxr_streamer] [info] process id= 8208
[2023-01-24 17:37:55.923] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:37:55.924] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x96806f90
[2023-01-24 17:37:55.924] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x96806f90
[2023-01-24 17:37:58.959] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:01.991] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:05.032] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:08.080] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:11.107] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:14.146] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:17.165] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:20.206] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
[2023-01-24 17:38:23.254] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0x96806f90
